epoch,train_loss,validation_loss,dice_red,dice_green,dice_blue,dice_average,iou_red,iou_green,iou_blue,iou_average,accuracy_red,accuracy_green,accuracy_blue,accuracy_average,fpr_red,fpr_green,fpr_blue,fpr_average,fnr_red,fnr_green,fnr_blue,fnr_average,precision_red,precision_green,precision_blue,precision_average,recall_red,recall_green,recall_blue,recall_average
1,11.824981328099966,2.2537945164367557,0.08104747772884013,0.20177404371215335,0.06332720813355339,0.1153829129440571,0.0,0.0005677339931799676,0.0,0.00018924467024847747,0.9954110615289034,0.9879804226889539,0.995860629117311,0.9930840583879557,0.0,4.544978138771661e-06,0.0,1.5149927527284205e-06,0.4517257347035764,0.7086978109914865,0.44142568133660215,0.5339497610259412,0.0,0.09466555763953435,0.0,0.031555186991871736,0.0,0.0005683466727383185,0.0,0.00018944889665933139
2,4.63611681945622,1.7904817759990692,0.09936857773964085,0.28060951128379624,0.12713457805229655,0.16903756052922847,0.04054064437774802,0.24793776869773865,0.07175551479988133,0.1200779795424262,0.9959068583018744,0.9905595330160055,0.9966797926532689,0.994382077633445,0.00023458930753967347,0.004760537204443852,0.00024803919047113976,0.0017477219416968414,0.4034770402445722,0.36628400745676526,0.36122982393005,0.3769969646610431,0.11251879682236199,0.3768963501302164,0.20385833568315007,0.2310911671661619,0.048248684520263284,0.34298215072546434,0.08019584566076744,0.15714223293670967
3,3.9149541342630982,1.5557669950649142,0.13140429406246143,0.3052598237991333,0.19550809030657385,0.21072407456031486,0.09448225017803819,0.2930598435784454,0.17918836881420505,0.1889101589348779,0.9963238417212643,0.9919803249302195,0.9976379435453842,0.9953140554143421,0.0008538132673520387,0.003603390391061166,0.0006490262813211085,0.0017020766837904646,0.3329153500163733,0.31002506547009767,0.22701850889334038,0.28998631661507623,0.20197212201223444,0.4420167327816807,0.29737776673551813,0.31378888383285325,0.1188103721212985,0.399241090488078,0.21440716165660031,0.24415288253951428
4,3.3478532219305634,1.2980529800988734,0.16126231276499692,0.34691743007791576,0.24284465444176945,0.25034147200744544,0.1405652063106423,0.3167392143340253,0.2222111981306503,0.22650521248579025,0.9967929525161857,0.9935257234680119,0.998125239984313,0.996147991561178,0.0010916792608210261,0.0019146982604748945,0.000620833405427315,0.0012090703508983464,0.2717723305990447,0.3262122999598731,0.17788775860151249,0.25862413733752804,0.23931984925892816,0.47676591286018716,0.32041666523289325,0.34550081882903827,0.17995339098261365,0.3830538574439376,0.26353791522890774,0.2755150632626975
5,2.8671442647464573,1.1310075796209276,0.19224206313713274,0.37428584339013743,0.26279337637460054,0.2764404378275373,0.18082789565200236,0.342738227501734,0.24511417201650676,0.25622677158063917,0.9974149283188493,0.9943144881903235,0.9982476710383572,0.9966590506816978,0.0008749802787562332,0.0017236856345796206,0.0008686196696232142,0.0011557618884974396,0.23065631169436582,0.30726979361541235,0.13579324021268246,0.22457312080842345,0.2677114552526332,0.5097326540680074,0.3169526288758463,0.36479892214732385,0.2210694099984952,0.40199636123073634,0.3056324317828933,0.3095660775677482
6,2.429914872162044,0.9497598842717707,0.2056467392996176,0.4212929873324152,0.27675276138444443,0.3012308380497036,0.17927127587261485,0.3907502584937793,0.2573104545251647,0.275777338378465,0.9979175524925118,0.9953249390445539,0.9984614813505713,0.9972346789801299,0.0003153540110089573,0.001978251970122888,0.0006649912831915626,0.0009861991114379254,0.2550496913826288,0.24123522016539503,0.13387382558699865,0.21005291730832698,0.293911498540373,0.5111358552726347,0.3333833769186219,0.3794769237735378,0.1966760308106444,0.4680309351255645,0.307551845908165,0.3240862817906622
7,2.0872455607168376,0.8402926865965128,0.2363227858249821,0.43524761053163613,0.29053917415996094,0.32070320199674635,0.21995218242727108,0.40038827395261223,0.27591642136894057,0.2987523003300624,0.9982353608999679,0.9957518435236233,0.9985335860679398,0.9975069503285992,0.0006709940569282426,0.0014565258318169126,0.0008975369686351172,0.0010083523177569593,0.19556048723743924,0.24885399895372676,0.09445576183497906,0.1796234205031573,0.2999540033625133,0.5413179266363827,0.3230392283468104,0.38810372886373035,0.2561652326761787,0.460412157338057,0.346969908853965,0.3545157749261429
8,1.9325369321741164,0.7694095079787076,0.23743996535664175,0.4538514611881171,0.29417055734057923,0.3284873358571707,0.2197393609294251,0.4260791044181852,0.28099224427297936,0.30893691340044366,0.9984127492157381,0.9961054173868094,0.9986682747727009,0.9977288348461265,0.0003865575244122032,0.0015360728265029558,0.0007184227203529801,0.0008803510403350941,0.20827333295523232,0.21404045564470006,0.09914376514393893,0.1738191898078171,0.3122205974450752,0.5453920128630169,0.33512839863994226,0.3975803480664296,0.24345239007206104,0.4952256982006244,0.34228190512799506,0.3603200074007262
9,1.7272413664031774,0.7070083117578179,0.2519051471530502,0.46465851677887476,0.29934810257669703,0.338637265474049,0.23886737171838532,0.43236098271697315,0.2853750821147392,0.3188678238596489,0.998546975317286,0.9964152334341362,0.9987848979323658,0.9979157225409551,0.0005406946276788905,0.001232319037992952,0.0005727821612233685,0.0007819319671669752,0.17286285360468856,0.22218053142971067,0.1061262975988993,0.167056566521303,0.30814848072938067,0.5603225667085221,0.34541219128156775,0.40462775639633636,0.27886286755995965,0.48708562508447845,0.33529937489708855,0.36708263141005787
10,1.58965586242266,0.7295791914220899,0.24818486197670894,0.4829413228070558,0.3068992753527058,0.3460084940515347,0.2204488558110906,0.45230026965710657,0.28685563357908334,0.31986826369121896,0.9984518307358471,0.9962148693070483,0.9988467088386194,0.9978378214942876,0.00022931097330218842,0.002514472716911904,0.0005350946620325627,0.0010929594890200602,0.21417696462638341,0.1482729198160901,0.11039115116000175,0.1576136836587493,0.3222526872335975,0.5210741611559,0.34914988690792625,0.3974922575167756,0.2375487566216668,0.5609932352802647,0.33103451855591876,0.3765255128269765
